,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z
949,64784,0,,,,,,-0.023615496,1.2245309,0.45095563,1.305141633225945,716.0,622.0,617.0,0.0,83.0,0.44374722,0.5176218,0.43158826
950,74107,1,624.0,623.0,617.0,0.0,81.0,-0.022362432,1.2244992,0.45079294,1.3050336031127971,,,,,,0.44549802,0.5253609,0.4329329
951,64884,0,,,,,,-0.021229964,1.2246263,0.45111376,1.3052447730440835,717.0,623.0,618.0,0.0,79.0,0.4470565,0.53095883,0.43476644
952,74207,1,625.0,624.0,618.0,0.0,78.0,-0.020541243,1.2245122,0.45055392,1.3049333149620443,,,,,,0.44912001,0.54132366,0.43740225
953,64984,0,,,,,,-0.01968465,1.2242671,0.45107123,1.3048688577630607,718.0,624.0,619.0,0.0,78.0,0.45005015,0.5477903,0.4383623
954,74307,1,626.0,625.0,619.0,0.0,77.0,-0.019106107,1.2242069,0.45168492,1.3050160558036845,,,,,,0.45100558,0.5540677,0.43909162
955,65084,0,,,,,,-0.0190967,1.2242941,0.45176455,1.3051252266045068,719.0,625.0,620.0,0.0,78.0,0.45110667,0.5565619,0.43872967
956,74407,1,627.0,626.0,620.0,0.0,76.0,-0.018100385,1.2236407,0.45353225,1.3051113512201322,,,,,,0.4521752,0.5732567,0.44034526
957,65184,0,,,,,,-0.018590389,1.2239848,0.45412704,1.305647677089733,720.0,626.0,621.0,0.0,75.0,0.45287803,0.57953256,0.4411073
958,74507,1,628.0,627.0,621.0,0.0,76.0,-0.018118234,1.2239914,0.45522726,1.3060302667050958,,,,,,0.45302698,0.58890736,0.44096652
959,65284,0,,,,,,-0.019010562,1.2237518,0.45533296,1.3058552513556785,721.0,627.0,622.0,0.0,78.0,0.45299405,0.5947038,0.44107533
