,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.computenum2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.computenum13
6012,101411,log1,1928,1883,447,0,0,0
6013,98957,log0,0,0,0,3294,3165,450
6014,98987,log0,0,0,0,3295,3166,450
6015,101441,log1,1928,1883,447,0,0,0
6016,101471,log1,1929,1884,447,0,0,0
6017,99017,log0,0,0,0,3296,3167,450
6018,101501,log1,1929,1884,447,0,0,0
6019,99047,log0,0,0,0,3297,3168,451
6020,101531,log1,1930,1885,447,0,0,0
6021,99077,log0,0,0,0,3298,3169,451
6022,101561,log1,1931,1886,448,0,0,0
6023,99107,log0,0,0,0,3299,3170,451
6024,101591,log1,1931,1886,448,0,0,0
6025,99137,log0,0,0,0,3300,3171,451
6026,101621,log1,1932,1887,448,0,0,0
6027,99167,log0,0,0,0,3301,3172,451
6028,101651,log1,1932,1887,448,0,0,0
6029,99197,log0,0,0,0,3302,3173,451
6030,101681,log1,1933,1888,448,0,0,0
6031,99227,log0,0,0,0,3303,3174,451
6032,101711,log1,1934,1889,448,0,0,0
6033,99257,log0,0,0,0,3304,3175,452
6034,101741,log1,1934,1889,448,0,0,0
6035,99287,log0,0,0,0,3305,3176,452
6036,101771,log1,1935,1890,449,0,0,0
6037,99317,log0,0,0,0,3306,3177,452
6038,101801,log1,1935,1890,449,0,0,0
6039,99347,log0,0,0,0,3307,3178,452
6040,101831,log1,1936,1891,449,0,0,0
6041,99377,log0,0,0,0,3308,3179,452
6042,101861,log1,1937,1892,449,0,0,0
6043,99407,log0,0,0,0,3309,3180,452
6044,101891,log1,1937,1892,449,0,0,0
6045,99437,log0,0,0,0,3310,3181,452
6046,101921,log1,1938,1893,449,0,0,0
6047,99467,log0,0,0,0,3311,3182,453
6048,101951,log1,1938,1893,449,0,0,0
6049,99497,log0,0,0,0,3312,3183,453
6050,101981,log1,1939,1894,450,0,0,0
6051,99527,log0,0,0,0,3313,3184,453
6052,102011,log1,1940,1895,450,0,0,0
6053,99557,log0,0,0,0,3314,3185,453
6054,102041,log1,1940,1895,450,0,0,0
6055,99587,log0,0,0,0,3315,3186,453
6056,102071,log1,1941,1896,450,0,0,0
6057,99617,log0,0,0,0,3316,3187,453
6058,102101,log1,1941,1896,450,0,0,0
6059,99647,log0,0,0,0,3317,3188,453
6060,102131,log1,1942,1897,450,0,0,0
6061,99677,log0,0,0,0,3318,3189,454
6062,102161,log1,1943,1898,451,0,0,0
6063,99707,log0,0,0,0,3319,3190,454
6064,102191,log1,1943,1898,451,0,0,0
6065,99737,log0,0,0,0,3320,3191,454
6066,102221,log1,1944,1899,451,0,0,0
6067,99767,log0,0,0,0,3321,3192,454
6068,102251,log1,1944,1899,451,0,0,0
6069,99797,log0,0,0,0,3322,3193,454
6070,102281,log1,1945,1900,451,0,0,0
6071,99827,log0,0,0,0,3323,3194,454
6072,102311,log1,1946,1901,451,0,0,0
6073,99857,log0,0,0,0,3324,3195,454
6074,102341,log1,1946,1901,451,0,0,0
6075,99887,log0,0,0,0,3325,3196,455
6076,102371,log1,1947,1902,452,0,0,0
6077,99917,log0,0,0,0,3326,3197,455
6078,102401,log1,1947,1902,452,0,0,0
6079,99947,log0,0,0,0,3327,3198,455
6080,102431,log1,1948,1903,452,0,0,0
6081,99977,log0,0,0,0,3328,3199,455
6082,102461,log1,1949,1904,452,0,0,0
6083,100007,log0,0,0,0,3329,3200,455
6084,102491,log1,1949,1904,452,0,0,0
6085,100037,log0,0,0,0,3330,3201,455
6086,102521,log1,1950,1905,452,0,0,0
6087,100067,log0,0,0,0,3331,3202,455
6088,102551,log1,1950,1905,452,0,0,0
6089,100097,log0,0,0,0,3332,3203,456
6090,102581,log1,1951,1906,453,0,0,0
6091,100127,log0,0,0,0,3333,3204,456
6092,102611,log1,1952,1907,453,0,0,0
6093,100157,log0,0,0,0,3334,3205,456
6094,102641,log1,1952,1907,453,0,0,0
6095,100187,log0,0,0,0,3335,3206,456
6096,102671,log1,1953,1908,453,0,0,0
6097,100217,log0,0,0,0,3336,3207,456
6098,102701,log1,1953,1908,453,0,0,0
6099,100247,log0,0,0,0,3337,3208,456
6100,102731,log1,1954,1909,453,0,0,0
6101,100277,log0,0,0,0,3338,3209,456
6102,102761,log1,1955,1910,454,0,0,0
6103,100307,log0,0,0,0,3339,3210,457
6104,102791,log1,1955,1910,454,0,0,0
6105,100337,log0,0,0,0,3340,3211,457
6106,102821,log1,1956,1911,454,0,0,0
6107,100367,log0,0,0,0,3341,3212,457
6108,102851,log1,1956,1911,454,0,0,0
6109,100397,log0,0,0,0,3342,3213,457
6110,102881,log1,1957,1912,454,0,0,0
6111,100427,log0,0,0,0,3343,3214,457
6112,102911,log1,1958,1913,454,0,0,0
6113,100457,log0,0,0,0,3344,3215,457
6114,102941,log1,1958,1913,454,0,0,0
6115,100487,log0,0,0,0,3345,3216,457
6116,102971,log1,1959,1914,454,0,0,0
6117,100517,log0,0,0,0,3346,3217,458
6118,103001,log1,1959,1914,454,0,0,0
6119,100547,log0,0,0,0,3347,3218,458
6120,103031,log1,1960,1915,454,0,0,0
6121,100577,log0,0,0,0,3348,3219,458
6122,103061,log1,1961,1916,454,0,0,0
6123,100607,log0,0,0,0,3349,3220,458
6124,103091,log1,1961,1916,454,0,0,0
6125,100637,log0,0,0,0,3350,3221,458
6126,103121,log1,1962,1917,454,0,0,0
6127,100667,log0,0,0,0,3351,3222,458
6128,103151,log1,1962,1917,454,0,0,0
6129,100697,log0,0,0,0,3352,3223,458
6130,103181,log1,1963,1918,455,0,0,0
6131,100727,log0,0,0,0,3353,3224,459
6132,103211,log1,1964,1919,455,0,0,0
6133,100757,log0,0,0,0,3354,3225,459
6134,103241,log1,1964,1919,455,0,0,0
6135,100787,log0,0,0,0,3355,3226,459
6136,103271,log1,1965,1920,455,0,0,0
6137,100817,log0,0,0,0,3356,3227,459
6138,103301,log1,1965,1920,455,0,0,0
6139,100847,log0,0,0,0,3357,3228,459
6140,103331,log1,1966,1921,455,0,0,0
6141,100877,log0,0,0,0,3358,3229,459
6142,103361,log1,1967,1922,456,0,0,0
6143,100907,log0,0,0,0,3359,3230,459
6144,103391,log1,1967,1922,456,0,0,0
6145,100937,log0,0,0,0,3360,3231,460
6146,103421,log1,1968,1923,456,0,0,0
6147,100967,log0,0,0,0,3361,3232,460
6148,103451,log1,1968,1923,456,0,0,0
6149,100997,log0,0,0,0,3362,3233,460
6150,103481,log1,1969,1924,456,0,0,0
6151,101027,log0,0,0,0,3363,3234,460
6152,103511,log1,1970,1925,456,0,0,0
