,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
165,223148,0,484.0,1230.0,1215.0,2.0,95.0,0.40734482,0.08482102,0.64903075,0.7709509159405352,,,,,
166,75008,1,,,,,,0.40967062,0.08827629,0.647737,0.7714829720992439,1472.0,483.0,477.0,0.0,91.0
167,223248,0,485.0,1231.0,1216.0,2.0,96.0,0.4345339,0.12504838,0.6377867,0.7818111414034115,,,,,
168,75108,1,,,,,,0.43833223,0.128803,0.63477,0.7820858514936998,1472.0,483.0,477.0,0.0,91.0
169,223348,0,485.0,1231.0,1216.0,2.0,96.0,0.4819093,0.19202161,0.6218773,0.8098396558478957,,,,,
170,75208,1,,,,,,0.48691308,0.19802588,0.61988854,0.8127486754538094,1473.0,484.0,478.0,0.0,98.0
171,223448,0,486.0,1232.0,1217.0,2.0,104.0,0.5345896,0.2646075,0.6134254,0.8556248249567658,,,,,
172,75308,1,,,,,,-0.11486185,-0.88325036,0.6902196,1.1268218609980163,1474.0,485.0,479.0,0.0,105.0
173,75408,1,,,,,,0.58537847,0.33342317,0.6129511,0.9107952625479335,1474.0,485.0,479.0,0.0,105.0
174,223548,0,487.0,1233.0,1218.0,2.0,116.0,0.5909678,0.3414454,0.61362505,0.9178036629666523,,,,,
175,75508,1,,,,,,0.64722735,0.41629532,0.6196725,0.9880278391374328,1475.0,486.0,480.0,0.0,123.0
176,223648,0,487.0,1233.0,1218.0,2.0,116.0,0.6526802,0.423261,0.6201286,0.9948370600260751,,,,,
177,223748,0,488.0,1234.0,1219.0,2.0,134.0,0.6952691,0.48058203,0.6270857,1.0524232398488451,,,,,
178,75608,1,,,,,,0.7004115,0.48757997,0.6279256,1.0595286798463832,1476.0,487.0,481.0,0.0,135.0
179,223848,0,489.0,1235.0,1220.0,2.0,146.0,0.74476224,0.5491008,0.63435227,1.1218668823247335,,,,,
180,75708,1,,,,,,0.74934787,0.5562216,0.6353154,1.1289510075516875,1476.0,487.0,481.0,0.0,135.0
181,223948,0,489.0,1235.0,1220.0,2.0,146.0,0.79445976,0.62225634,0.63842386,1.19413327840472,,,,,
182,75808,1,,,,,,0.7988929,0.6285206,0.6382449,1.2002602348664866,1477.0,488.0,482.0,0.0,150.0
