,timestamp,logNumber,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
246,29545,log0,535,440,431,3
247,29605,log0,535,440,431,3
248,29665,log0,535,440,431,3
249,29725,log0,535,440,431,3
250,29785,log0,535,440,431,3
251,29845,log0,535,440,431,3
252,29905,log0,535,440,431,3
253,29965,log0,535,440,431,3
254,30025,log0,535,440,431,3
255,30085,log0,535,440,431,3
256,30145,log0,535,440,431,3
257,30205,log0,535,440,431,3
258,30265,log0,535,440,431,3
259,30325,log0,548,441,431,3
260,30385,log0,549,442,431,4
261,30445,log0,550,443,431,5
262,30505,log0,551,444,431,6
263,30565,log0,552,445,431,7
264,30625,log0,553,446,431,8
265,30685,log0,554,447,431,9
266,30745,log0,555,448,431,10
267,30805,log0,556,449,431,11
268,30865,log0,557,450,432,11
269,30925,log0,558,451,433,11
270,30985,log0,559,452,434,11
271,31045,log0,560,453,435,11
272,31105,log0,561,454,436,11
273,31165,log0,562,455,436,12
274,31225,log0,563,456,437,12
275,31285,log0,564,457,438,12
276,31345,log0,565,458,439,12
277,31405,log0,566,459,439,13
278,31465,log0,567,460,439,14
279,31525,log0,568,461,439,15
280,31585,log0,569,462,439,16
281,31645,log0,570,463,439,17
282,31705,log0,571,464,439,18
283,31765,log0,572,465,440,18
284,31825,log0,573,466,441,18
285,31885,log0,574,467,441,19
286,31945,log0,575,468,441,20
287,32005,log0,576,469,441,21
288,32065,log0,577,470,441,22
289,32125,log0,578,471,441,23
290,32185,log0,579,472,441,24
291,32245,log0,580,473,441,25
292,32305,log0,581,474,441,26
293,32365,log0,582,475,441,27
294,32425,log0,583,476,441,28
295,32485,log0,584,477,441,29
296,32545,log0,585,478,442,29
297,32605,log0,586,479,443,29
298,32665,log0,587,480,444,29
299,32725,log0,588,481,445,29
300,32785,log0,589,482,446,29
301,32845,log0,590,483,447,29
302,32905,log0,591,484,448,29
303,32965,log0,592,485,449,29
304,33025,log0,593,486,450,29
305,33085,log0,594,487,451,29
306,33145,log0,595,488,452,29
307,33205,log0,596,489,453,29
308,33265,log0,597,490,454,29
309,33325,log0,598,491,455,29
310,33385,log0,599,492,456,29
311,33445,log0,600,493,457,29
312,33505,log0,601,494,458,29
313,33565,log0,602,495,459,29
314,33625,log0,603,496,460,29
315,33685,log0,604,497,461,29
316,33745,log0,605,498,462,29
317,33805,log0,606,499,463,29
318,33865,log0,607,500,464,29
319,33925,log0,608,501,465,29
320,33985,log0,609,502,466,29
321,34045,log0,609,502,466,29
322,34105,log0,609,502,466,29
323,34165,log0,609,502,466,29
324,34225,log0,609,502,466,29
325,34285,log0,609,502,466,29
326,34345,log0,609,502,466,29
327,34405,log0,609,502,466,29
328,34465,log0,609,502,466,29
329,34525,log0,609,502,466,29
330,34585,log0,609,502,466,29
331,34645,log0,609,502,466,29
332,34705,log0,609,502,466,29
333,34765,log0,609,502,466,29
334,34825,log0,609,502,466,29
335,34885,log0,609,502,466,29
336,34945,log0,609,502,466,29
337,35005,log0,609,502,466,29
338,35065,log0,609,502,466,29
339,35125,log0,609,502,466,29
340,35185,log0,609,502,466,29
341,35245,log0,609,502,466,29
342,35305,log0,609,502,466,29
343,35365,log0,609,502,466,29
344,35425,log0,609,502,466,29
345,35485,log0,609,502,466,29
346,35545,log0,609,502,466,29
347,35605,log0,609,502,466,29
348,35665,log0,637,503,466,29
349,35725,log0,638,504,466,29
350,35785,log0,639,505,467,29
351,35845,log0,639,505,467,29
352,35905,log0,639,505,467,29
353,35965,log0,639,505,467,29
354,36025,log0,643,506,467,29
355,36085,log0,644,507,468,29
356,36145,log0,645,508,469,29
357,36205,log0,646,509,470,29
358,36265,log0,647,510,471,29
359,36326,log0,648,511,472,29
360,36385,log0,649,512,472,29
361,36445,log0,650,513,473,29
362,36505,log0,651,514,474,29
363,36565,log0,652,515,474,29
364,36625,log0,653,516,475,29
365,36685,log0,654,517,475,30
366,36745,log0,655,518,475,31
367,36805,log0,656,519,475,32
368,36865,log0,657,520,475,33
369,36925,log0,658,521,475,34
370,36985,log0,659,522,475,35
371,37045,log0,660,523,476,35
372,37105,log0,661,524,477,35
373,37165,log0,662,525,478,35
374,37225,log0,663,526,479,35
375,37285,log0,664,527,480,35
376,37345,log0,665,528,480,36
377,37405,log0,666,529,480,37
378,37465,log0,667,530,480,38
379,37525,log0,668,531,480,39
380,37585,log0,669,532,480,40
381,37645,log0,670,533,480,41
382,37705,log0,671,534,481,41
383,37765,log0,672,535,482,41
384,37825,log0,673,536,483,41
385,37885,log0,674,537,484,41
386,37945,log0,675,538,485,41
387,38005,log0,676,539,486,41
388,38065,log0,676,539,486,41
389,38125,log0,676,539,486,41
390,38185,log0,676,539,486,41
391,38245,log0,680,540,486,41
392,38305,log0,681,541,486,42
393,38365,log0,682,542,486,43
394,38425,log0,683,543,486,44
395,38485,log0,684,544,487,44
396,38545,log0,685,545,488,44
397,38605,log0,686,546,489,44
398,38665,log0,687,547,490,44
399,38725,log0,688,548,491,44
400,38785,log0,689,549,492,44
401,38845,log0,690,550,493,44
402,38905,log0,691,551,494,44
403,38965,log0,692,552,495,44
404,39025,log0,693,553,496,44
405,39085,log0,694,554,497,44
406,39145,log0,695,555,498,44
407,39205,log0,696,556,499,44
408,39265,log0,697,557,500,44
409,39326,log0,698,558,501,44
410,39385,log0,699,559,502,44
411,39446,log0,700,560,503,44
412,39505,log0,701,561,504,44
413,39566,log0,702,562,505,44
414,39625,log0,703,563,506,44
415,39685,log0,704,564,507,44
416,39745,log0,705,565,508,44
417,39805,log0,706,566,509,44
418,39865,log0,707,567,510,44
419,39925,log0,708,568,511,44
420,39985,log0,709,569,512,44
421,40045,log0,710,570,513,44
422,40105,log0,710,570,513,44
423,40165,log0,710,570,513,44
424,40225,log0,710,570,513,44
425,40285,log0,710,570,513,44
426,40345,log0,710,570,513,44
427,40405,log0,710,570,513,44
428,40465,log0,710,570,513,44
429,40525,log0,718,571,513,44
430,40585,log0,719,572,514,44
431,40645,log0,720,573,514,45
432,40705,log0,721,574,515,45
433,40765,log0,722,575,516,45
434,40825,log0,723,576,517,45
435,40885,log0,724,577,518,45
436,40945,log0,725,578,519,45
437,41006,log0,726,579,520,45
438,41066,log0,727,580,521,45
439,41125,log0,728,581,522,45
440,41186,log0,729,582,522,46
441,41245,log0,730,583,522,47
442,41305,log0,731,584,522,48
443,41365,log0,732,585,522,49
444,41425,log0,733,586,522,50
445,41485,log0,734,587,523,50
446,41545,log0,735,588,524,50
447,41605,log0,736,589,525,50
448,41665,log0,737,590,526,50
449,41725,log0,738,591,527,50
450,41785,log0,739,592,528,50
451,41845,log0,740,593,529,50
452,41905,log0,741,594,530,50
453,41965,log0,742,595,531,50
454,42025,log0,743,596,532,50
455,42085,log0,744,597,533,50
456,42145,log0,745,598,534,50
457,42205,log0,746,599,535,50
458,42265,log0,747,600,536,50
459,42325,log0,748,601,537,50
460,42385,log0,749,602,538,50
461,42445,log0,750,603,539,50
462,42505,log0,751,604,540,50
463,42565,log0,752,605,541,50
464,42625,log0,753,606,542,50
465,42685,log0,754,607,543,50
466,42746,log0,755,608,544,50
467,42805,log0,756,609,545,50
468,42865,log0,757,610,546,50
469,42925,log0,758,611,547,50
470,42985,log0,759,612,548,50
471,43045,log0,760,613,549,50
472,43105,log0,761,614,550,50
473,43165,log0,762,615,551,50
474,43225,log0,763,616,552,50
475,43285,log0,764,617,553,50
476,43345,log0,765,618,554,50
477,43405,log0,766,619,555,50
478,43465,log0,767,620,556,50
479,43525,log0,767,620,556,50
480,43585,log0,767,620,556,50
481,43645,log0,767,620,556,50
482,43705,log0,767,620,556,50
483,43765,log0,767,620,556,50
484,43825,log0,767,620,556,50
485,43885,log0,767,620,556,50
486,43945,log0,767,620,556,50
487,44005,log0,776,621,556,50
488,44066,log0,777,622,557,50
489,44125,log0,778,623,558,50
490,44185,log0,779,624,559,50
491,44245,log0,780,625,560,50
492,44305,log0,781,626,561,50
493,44365,log0,782,627,562,50
494,44425,log0,783,628,563,50
495,44485,log0,784,629,564,50
496,44545,log0,785,630,565,50
497,44605,log0,786,631,566,50
498,44665,log0,787,632,567,50
499,44725,log0,788,633,568,50
500,44785,log0,789,634,569,50
501,44845,log0,790,635,570,50
502,44905,log0,791,636,571,50
503,44965,log0,792,637,572,50
504,45025,log0,793,638,573,50
505,45085,log0,794,639,574,50
506,45145,log0,795,640,575,50
507,45205,log0,796,641,576,50
508,45265,log0,797,642,577,50
509,45325,log0,798,643,578,50
