,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
146,22090,1,,,,,,249.0,248.0,122.0,122.0,41.0
147,15036,0,196.0,124.0,122.0,0.0,43.0,,,,,
148,22140,1,,,,,,250.0,249.0,122.0,123.0,41.0
149,15086,0,197.0,125.0,123.0,0.0,42.0,,,,,
150,22190,1,,,,,,251.0,250.0,123.0,123.0,43.0
151,15136,0,197.0,125.0,123.0,0.0,42.0,,,,,
152,22240,1,,,,,,252.0,251.0,123.0,124.0,43.0
153,15186,0,198.0,126.0,124.0,0.0,44.0,,,,,
154,22290,1,,,,,,253.0,252.0,124.0,124.0,44.0
155,15236,0,198.0,126.0,124.0,0.0,44.0,,,,,
156,22340,1,,,,,,254.0,253.0,124.0,125.0,45.0
157,15286,0,199.0,127.0,125.0,0.0,44.0,,,,,
158,22390,1,,,,,,255.0,254.0,125.0,125.0,43.0
159,15336,0,199.0,127.0,125.0,0.0,44.0,,,,,
160,22440,1,,,,,,256.0,255.0,125.0,126.0,43.0
161,15386,0,200.0,128.0,126.0,0.0,43.0,,,,,
162,22490,1,,,,,,257.0,256.0,126.0,126.0,42.0
163,15436,0,200.0,128.0,126.0,0.0,43.0,,,,,
164,22540,1,,,,,,258.0,257.0,126.0,127.0,43.0
165,15486,0,201.0,129.0,127.0,0.0,43.0,,,,,
166,22590,1,,,,,,259.0,258.0,127.0,127.0,45.0
167,15536,0,201.0,129.0,127.0,0.0,43.0,,,,,
168,22640,1,,,,,,260.0,259.0,127.0,128.0,45.0
169,15586,0,202.0,130.0,128.0,0.0,45.0,,,,,
170,22690,1,,,,,,261.0,260.0,128.0,128.0,43.0
171,15636,0,202.0,130.0,128.0,0.0,45.0,,,,,
172,22740,1,,,,,,262.0,261.0,128.0,129.0,43.0
173,15686,0,203.0,131.0,129.0,0.0,43.0,,,,,
174,22790,1,,,,,,263.0,262.0,129.0,129.0,42.0
175,15736,0,203.0,131.0,129.0,0.0,43.0,,,,,
176,22840,1,,,,,,264.0,263.0,129.0,130.0,44.0
177,15786,0,204.0,132.0,130.0,0.0,43.0,,,,,
178,22890,1,,,,,,265.0,264.0,130.0,130.0,45.0
179,15836,0,204.0,132.0,130.0,0.0,43.0,,,,,
180,22940,1,,,,,,266.0,265.0,130.0,131.0,44.0
181,15886,0,205.0,133.0,131.0,0.0,45.0,,,,,
182,22990,1,,,,,,267.0,266.0,131.0,131.0,43.0
183,15936,0,205.0,133.0,131.0,0.0,45.0,,,,,
184,23040,1,,,,,,268.0,267.0,131.0,132.0,42.0
185,15986,0,206.0,134.0,132.0,0.0,43.0,,,,,
186,23090,1,,,,,,269.0,268.0,132.0,132.0,43.0
187,16036,0,206.0,134.0,132.0,0.0,43.0,,,,,
188,23140,1,,,,,,270.0,269.0,132.0,133.0,44.0
189,16086,0,207.0,135.0,133.0,0.0,44.0,,,,,
190,23190,1,,,,,,271.0,270.0,133.0,133.0,42.0
191,16136,0,207.0,135.0,133.0,0.0,44.0,,,,,
192,23240,1,,,,,,272.0,271.0,133.0,134.0,43.0
193,16186,0,208.0,136.0,134.0,0.0,42.0,,,,,
194,23290,1,,,,,,273.0,272.0,134.0,134.0,42.0
195,16236,0,208.0,136.0,134.0,0.0,42.0,,,,,
196,23340,1,,,,,,274.0,273.0,134.0,135.0,43.0
197,16286,0,209.0,137.0,135.0,0.0,42.0,,,,,
198,23390,1,,,,,,275.0,274.0,135.0,135.0,43.0
199,16336,0,209.0,137.0,135.0,0.0,42.0,,,,,
200,23440,1,,,,,,276.0,275.0,135.0,136.0,43.0
201,16386,0,210.0,138.0,136.0,0.0,43.0,,,,,
202,23490,1,,,,,,277.0,276.0,136.0,136.0,43.0
203,16436,0,210.0,138.0,136.0,0.0,43.0,,,,,
204,23540,1,,,,,,278.0,277.0,136.0,137.0,44.0
205,16486,0,211.0,139.0,137.0,0.0,44.0,,,,,
206,23590,1,,,,,,279.0,278.0,137.0,137.0,44.0
207,16536,0,211.0,139.0,137.0,0.0,44.0,,,,,
208,23640,1,,,,,,280.0,279.0,137.0,138.0,45.0
209,16586,0,212.0,140.0,138.0,0.0,45.0,,,,,
210,23690,1,,,,,,281.0,280.0,138.0,138.0,46.0
211,16636,0,212.0,140.0,138.0,0.0,45.0,,,,,
212,23740,1,,,,,,282.0,281.0,138.0,139.0,46.0
213,16686,0,213.0,141.0,139.0,0.0,45.0,,,,,
214,23790,1,,,,,,283.0,282.0,139.0,139.0,44.0
215,16736,0,213.0,141.0,139.0,0.0,45.0,,,,,
216,23840,1,,,,,,284.0,283.0,139.0,140.0,45.0
217,16786,0,214.0,142.0,140.0,0.0,45.0,,,,,
218,23890,1,,,,,,285.0,284.0,140.0,140.0,43.0
219,16836,0,214.0,142.0,140.0,0.0,45.0,,,,,
220,23940,1,,,,,,286.0,285.0,140.0,141.0,43.0
221,16886,0,215.0,143.0,141.0,0.0,43.0,,,,,
222,23990,1,,,,,,287.0,286.0,141.0,141.0,42.0
223,16936,0,215.0,143.0,141.0,0.0,43.0,,,,,
224,24040,1,,,,,,288.0,287.0,141.0,142.0,43.0
225,16986,0,216.0,144.0,142.0,0.0,43.0,,,,,
226,24090,1,,,,,,289.0,288.0,142.0,142.0,41.0
227,17036,0,216.0,144.0,142.0,0.0,43.0,,,,,
228,24140,1,,,,,,290.0,289.0,142.0,143.0,40.0
229,17086,0,217.0,145.0,143.0,0.0,41.0,,,,,
230,24190,1,,,,,,291.0,290.0,143.0,143.0,44.0
231,17136,0,217.0,145.0,143.0,0.0,41.0,,,,,
232,24240,1,,,,,,292.0,291.0,143.0,144.0,44.0
233,17186,0,218.0,146.0,144.0,0.0,45.0,,,,,
234,24290,1,,,,,,293.0,292.0,144.0,144.0,43.0
235,17236,0,218.0,146.0,144.0,0.0,45.0,,,,,
236,24340,1,,,,,,294.0,293.0,144.0,145.0,44.0
237,17286,0,219.0,147.0,145.0,0.0,43.0,,,,,
238,24390,1,,,,,,295.0,294.0,145.0,145.0,44.0
239,17336,0,219.0,147.0,145.0,0.0,43.0,,,,,
240,24440,1,,,,,,296.0,295.0,145.0,146.0,44.0
241,17386,0,220.0,148.0,146.0,0.0,44.0,,,,,
242,24490,1,,,,,,297.0,296.0,146.0,146.0,43.0
243,17436,0,220.0,148.0,146.0,0.0,44.0,,,,,
244,24540,1,,,,,,298.0,297.0,146.0,147.0,43.0
245,17486,0,221.0,149.0,146.0,0.0,44.0,,,,,
