,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,Statistic.distReal1,UAV1x,UAV1y,UAV1z,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,Statistic.distReal3
200,57178,1,445.0,441.0,435.0,1.0,190.0,0.0,0.90692055,-0.75905687,0.4822665,-0.31934702,0.64751166,0.48712218,1.8660629056925793,,,,,,
201,57278,1,446.0,442.0,436.0,1.0,183.0,0.0,0.9066915,-0.7582192,0.482054,-0.31360647,0.6404811,0.48821166,1.8562131652844365,,,,,,
202,57378,1,447.0,443.0,437.0,1.0,170.0,0.0,0.9022819,-0.7391188,0.4333844,-0.21481577,0.5122511,0.49685147,1.6786488360269969,,,,,,
203,57478,1,448.0,444.0,438.0,1.0,160.0,0.0,0.8991255,-0.73747367,0.31964216,,,,1.2060121108101034,,,,,,
204,57578,1,449.0,445.0,439.0,1.0,150.0,0.0,0.89616024,-0.7414395,0.12055143,-0.095673606,0.37985083,0.49420777,1.5429340450240552,,,,,,
205,57678,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8738464,-0.72015244,0.08067344,-0.04005733,0.31146705,0.49133074,1.4380884178603308,,,,,,
206,57778,1,449.0,445.0,439.0,1.0,150.0,0.0,0.85136575,-0.69624907,0.06527037,0.014785157,0.24750704,0.48769337,1.3300315168505512,,,,,,
207,57878,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83458304,-0.6914469,0.059980717,0.060018253,0.19315013,0.48757848,1.2511204749445828,,,,,,
208,57978,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8334654,-0.69156015,0.055830654,0.08952936,0.15099764,0.48472035,1.2030340218942641,,,,,,
209,58078,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83349013,-0.69172984,0.05606564,0.10371204,0.13372053,0.47990853,1.1805029326016017,,,,,,
210,58178,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8336036,-0.6916789,0.056027774,0.09960624,0.12761492,0.4708321,1.1756092700148761,,,,,,
211,58278,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83330363,-0.69144475,0.05561225,0.09828517,0.13286199,0.46471706,1.1777523167293649,,,,,,
212,58378,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8331756,-0.6915522,0.055979863,0.09701775,0.13928604,0.46194887,1.1819608389748129,,,,,,
213,58478,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83334166,-0.69146025,0.05563025,0.10686554,0.14515634,0.46031183,1.1796024898807618,,,,,,
214,58578,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83351517,-0.6916528,0.055952877,0.111743934,0.14223832,0.4623292,1.1753594355256833,,,,,,
215,58678,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8330836,-0.6915258,0.05587418,0.10999937,0.13636275,0.46629924,1.173328192369717,,,,,,
216,58778,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8330207,-0.6914622,0.055757158,0.13032041,0.1269811,0.46384665,1.1533317454369747,,,,,,
217,58878,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83320147,-0.6916711,0.05611534,0.14148921,0.11069531,0.46394616,1.1351579809283303,,,,,,
218,58978,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83297884,-0.6911563,0.0550732,0.14068143,0.091587186,0.46716687,1.1232917203274493,,,,,,
219,59078,1,449.0,445.0,439.0,1.0,150.0,0.0,0.833038,-0.6914063,0.05568941,0.16118002,0.07651029,0.464276,1.0991051007167982,,,,,,
220,59178,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8332603,-0.69151586,0.055683203,0.15721992,0.057920355,0.46825156,1.090365950866214,,,,,,
221,59278,1,449.0,445.0,439.0,1.0,150.0,0.0,0.83318484,-0.69170624,0.0561556,,,,1.0843467843993089,,,,,,
222,59378,1,449.0,445.0,439.0,1.0,150.0,0.0,0.8328514,-0.6912782,0.055414144,0.1574639,0.049044732,0.46814433,1.0837769841996852,,,,,,
