Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7,T
100,100.6704712,106,105.5064545,191,193.2545166,122,108.5283051,6.96
101,101.1032333,104,109.0067673,189,192.5608673,122,132.0512085,7.02
102,100.6660538,104,109.3768005,193,192.5590057,121,131.002182,7.08
103,100.9273834,106,109.6469269,194,192.3166809,121,129.6311951,7.14
110,99.59770966,109,112.8711624,198,191.3101959,115,128.1328583,7.2
110,99.25232697,109,111.1214828,192,192.9782715,114,127.0754166,7.26
102,97.3369751,106,116.0677338,190,190.7065735,114,126.7535934,7.32
100,96.57614136,107,116.4724274,187,190.4676819,115,122.998703,7.38
110,96.92573547,104,116.5961304,189,192.2843323,113,123.0927658,7.44
109,96.76576233,107,114.7072067,188,193.7579193,113,123.5017471,7.5
129,93.15328217,108,116.8390884,187,191.1158447,107,123.7578888,7.56
128,91.87918854,109,116.4122925,185,191.3459778,108,119.1979523,7.62
127,92.03226471,108,116.4122925,180,191.3459778,112,119.1456528,7.68
127,91.67984009,107,118.2281799,181,190.8210297,114,118.9594193,7.74
120,89.33024597,106,113.4354324,179,188.851944,111,119.656189,7.8
119,89.77365875,104,113.4354324,181,188.4373474,110,119.951355,7.86
122,88.81995392,105,110.7730484,183,191.4246521,112,119.9862061,7.92
121,87.92076874,104,108.0432358,189,191.3680115,110,120.8346405,7.98
98,87.59578705,104,106.6977234,188,189.3374481,113,123.6572647,8.04
101,88.10294342,104,106.7146378,189,187.8598633,114,123.6572647,8.1
80,87.88813782,100,106.7146378,190,186.7400208,120,123.6572647,8.16
78,87.88813782,92,106.7146378,196,186.7400208,121,122.7691269,8.22
82,87.88813782,91,105.9117355,200,182.2760315,122,122.5851974,8.28
81,88.22895813,94,105.9117355,189,182.2760315,123,122.3994522,8.34
80,88.45605469,88,107.2195663,187,179.4567108,127,122.2339249,8.4
78,85.81970978,82,85.29288483,188,174.1603241,127,122.1893463,8.46
80,85.46902466,80,85.04803467,193,170.532547,129,136.9755402,8.52
81,85.15840912,84,82.93688202,196,169.9472809,129,137.0576935,8.58
78,89.27950287,83,76.85111237,197,173.475296,130,137.2029419,8.64
78,91.08636475,80,78.05464935,196,175.5055542,132,143.6595306,8.7
76,90.52980804,79,78.01277161,193,172.473877,135,144.1707001,8.76
77,95.86763763,76,77.48987579,198,177.0197601,137,143.8215485,8.82
101,95.77960205,75,76.00853729,198,177.0197601,141,148.0295258,8.88
101,95.77960205,72,76.00853729,198,177.0197601,144,149.2184296,8.94
101,95.77960205,68,76.00853729,198,177.0197601,147,149.3341064,9
99,95.77960205,71,76.00853729,198,177.0197601,146,149.3341064,9.06
83,95.50505829,72,76.00853729,201,177.6966095,148,149.3341064,9.12
83,95.59027863,72,77.35115814,200,178.103241,149,148.7936554,9.18
102,95.82978821,73,78.45883942,201,177.9150543,151,148.687561,9.24
103,95.90788269,72,78.42024231,193,178.0897064,151,149.116684,9.3
114,95.95371246,72,76.66648102,194,178.4538879,149,148.9311676,9.36
114,96.12571716,70,76.51699829,196,178.4538879,148,148.7162933,9.42
116,95.89429474,71,77.71772003,193,178.4538879,147,148.7162933,9.48
116,95.71468353,69,75.59109497,196,179.4027863,146,147.7835083,9.54
114,95.4743042,66,75.223526,196,179.4027863,148,147.7835083,9.6
114,107.1045456,62,69.86325836,197,189.8810883,150,158.5186615,9.66
107,107.1045456,63,69.54360962,203,189.8810883,152,158.5186615,9.72
107,107.1315765,62,69.54360962,204,189.8810883,153,158.5186615,9.78
101,107.1315765,63,69.94937134,205,189.8810883,153,156.6074524,9.84
101,107.1315765,63,70.2676239,208,193.7085114,154,155.8651276,9.9
102,107.1315765,64,70.2676239,209,195.1535187,155,153.7671661,9.96
102,107.1315765,63,70.2676239,214,196.654007,153,152.2932281,10.02
105,105.1324387,64,70.2676239,213,197.2333374,154,151.0055084,10.08
105,104.9083176,69,77.20310974,201,199.8972321,152,151.0055084,10.14
107,104.9083176,70,80.13269043,173,200.9501343,158,149.0014648,10.2
107,104.9083176,74,81.76950073,183,203.6481323,159,149.0014648,10.26
106,104.9083176,76,84.81132507,190,203.7605591,165,146.0738678,10.32
106,104.3337173,79,85.93015289,194,206.6046753,165,146.0738678,10.38
99,104.2094879,80,88.27056122,197,207.2063293,168,144.5791931,10.44
99,104.2094879,82,89.37236023,199,206.5997925,167,144.5791931,10.5
109,103.9734802,84,90.28040314,204,207.6609192,172,144.5791931,10.56
110,103.9734802,83,90.5398941,208,207.6609192,174,144.5791931,10.62
121,104.008255,86,91.05049896,209,208.9106903,178,141.5638885,10.68
122,104.0789108,87,92.08815765,210,209.5988617,179,141.5638885,10.74
129,104.0933304,85,92.68006134,213,209.5963745,182,141.1885834,10.8
129,104.0169296,87,92.7912674,213,210.6543579,181,141.1885834,10.86
126,104.066658,70,65.85431671,210,228.1269073,182,141.1885834,10.92
126,132.3221588,60,68.53417969,212,228.1269073,186,193.0958405,10.98
125,132.3221588,60,71.25849152,213,228.1269073,189,193.0958405,11.04
125,132.3221588,64,74.10520172,219,235.0957184,190,193.0958405,11.1
135,132.3221588,65,76.45045471,226,237.7357788,191,190.5541687,11.16
135,132.3221588,67,76.45045471,232,239.6652374,194,190.5541687,11.22
141,132.3221588,74,76.45045471,237,241.7491302,197,190.5541687,11.28
142,132.3221588,82,84.02248383,243,244.0175629,199,190.5541687,11.34
142,132.3221588,77,85.97774506,244,246.6689453,200,190.5541687,11.4
142,132.3221588,72,87.39595032,246,248.1877899,201,190.5541687,11.46
144,132.3221588,78,87.39595032,248,248.8589172,202,185.1625977,11.52
144,132.3895874,87,87.39595032,249,250.6620789,204,185.1625977,11.58
147,132.3264923,90,88.48590088,251,253.4824982,206,185.1625977,11.64
148,132.1190796,87,88.48590088,253,253.4824982,209,185.1625977,11.7
154,150.9970703,87,89.27777863,255,270.1443787,211,212.6366272,11.76
154,151.1711121,88,88.54191589,259,270.1443787,211,212.6366272,11.82
154,151.120697,87,89.22679138,261,272.5122375,211,214.3861694,11.88
153,151.120697,87,86.51642609,266,275.2424622,212,215.7527771,11.94
154,151.2487946,92,85.89192963,268,275.2424622,214,215.7527771,12
154,149.8488312,87,83.55268097,268,273.8759766,213,215.7527771,12.06
153,149.4807434,89,83.37625885,269,273.5931396,213,216.5607452,12.12
153,148.852066,77,81.82362366,272,272.914856,213,215.7909546,12.18
149,149.3458099,75,80.55179596,272,281.546051,213,215.7909546,12.24
149,149.5644073,73,80.55179596,274,280.4033813,213,217.1572723,12.3
138,147.7180481,69,78.25032806,274,281.4647217,211,214.4781799,12.36
139,146.9492035,67,77.04790497,275,281.2639465,211,214.4749756,12.42
146,147.0194855,66,77.17595673,274,281.2639465,210,214.111618,12.48
146,147.7936401,66,76.63913727,275,281.2639465,211,214.111618,12.54
144,147.4133148,67,77.29830933,279,283.6990967,210,214.111618,12.6
144,147.2187958,67,77.54298401,274,283.7488708,209,214.2236023,12.66
142,147.1690521,70,79.5072403,276,283.7488708,209,214.080368,12.72
142,147.1690521,77,80.57137299,281,283.7488708,209,213.7612457,12.78
144,147.2152863,76,82.06412506,280,283.7488708,208,213.4221497,12.84
144,146.9310608,73,84.71270752,281,283.7488708,209,213.4221497,12.9
145,146.9310608,76,86.25121307,282,283.7488708,213,213.4221497,12.96
145,146.9310608,79,86.96178436,285,283.7488708,212,213.4221497,13.02
146,146.9310608,83,91.04870605,283,283.7488708,213,213.4221497,13.08
146,146.9310608,83,91.04870605,289,283.7488708,213,213.4221497,13.14
151,145.954422,82,92.96456909,289,290.532196,214,212.264328,13.2
151,145.9367218,82,93.99636078,287,290.532196,214,212.264328,13.26
147,145.9031219,83,93.99636078,289,291.3851013,215,212.5865173,13.32
147,145.9031219,84,95.23191833,288,291.7203674,215,212.8475037,13.38
148,145.9031219,84,95.45433807,289,293.264801,213,213.0275879,13.44
147,149.0980835,85,98.12249756,286,295.3285828,213,213.0275879,13.5
146,149.0980835,88,97.94857025,289,295.2900696,213,215.4025116,13.56
145,149.0980835,90,98.06095886,285,295.2900696,213,215.4025116,13.62
144,147.6289368,93,96.17250824,287,293.3632202,212,215.9293823,13.68
144,147.3391724,91,94.95550537,287,293.5247192,211,214.9598389,13.74
144,147.1056519,95,94.77098846,289,293.3572998,211,214.9598389,13.8
144,146.479187,93,95.20944214,283,291.2487488,211,214.9598389,13.86
137,146.4446259,93,94.71424103,282,291.2487488,209,214.422699,13.92
