Ranging.distTo1,Ranging.truthDistTo1,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
77,88,140,134,99,107
77,88,136,137,99,107
76,86,136,137,98,107
76,86,137,134,98,106
76,87,139,134,101,106
78,88,135,134,100,106
76,86,129,133,99,106
76,86,135,132,99,106
76,82,135,132,100,110
76,82,133,128,101,110
77,83,134,127,100,110
77,82,134,123,100,108
77,86,134,132,100,104
77,84,131,132,100,104
77,84,131,132,98,106
77,84,127,121,99,106
76,83,128,121,102,106
76,83,129,118,105,103
76,87,123,116,104,104
76,84,123,113,104,104
78,83,123,113,100,106
78,83,116,112,103,106
76,83,112,105,103,106
76,84,109,106,103,106
76,84,112,106,104,110
80,84,106,99,104,110
76,86,106,99,118,109
76,86,104,96,108,111
81,86,102,94,115,115
80,83,97,92,118,113
77,82,96,88,122,117
78,82,96,84,122,117
78,83,96,84,121,117
78,83,91,83,124,117
79,83,91,85,125,118
78,87,86,83,125,117
79,87,89,83,128,118
76,87,85,84,128,118
76,87,85,84,128,123
76,87,86,83,128,123
75,87,84,83,127,123
76,86,85,83,136,123
75,87,92,81,133,131
77,83,94,86,133,131
76,82,94,86,127,133
76,82,90,83,124,134
78,84,76,83,123,135
78,83,77,86,129,133
76,85,80,85,132,133
76,81,80,82,132,133
72,81,80,82,134,138
72,81,80,84,135,140
73,81,80,86,138,140
76,81,78,87,140,142
75,81,80,87,140,147
76,82,82,91,140,147
76,82,82,91,144,145
76,82,92,96,147,146
74,83,95,98,144,142
75,85,104,96,145,148
77,82,118,102,147,148
76,83,124,103,147,148
75,83,124,103,144,148
75,83,136,105,147,143
75,83,149,105,144,147
76,83,139,107,149,147
76,86,142,107,144,141
76,84,116,109,144,141
76,84,116,109,148,142
76,84,115,110,145,142
75,84,102,108,146,141
75,84,103,106,145,145
74,82,86,104,144,145
75,82,84,106,144,145
74,82,84,106,144,148
74,82,83,102,146,144
75,81,82,100,145,148
75,82,84,100,143,148
74,86,87,99,146,144
71,81,89,98,146,144
74,81,89,98,146,151
74,81,92,97,147,149
72,80,91,97,148,145
72,81,92,102,146,146
70,81,101,104,145,148
73,82,102,106,145,148
73,81,102,106,146,148
73,81,106,108,146,146
72,84,110,106,146,142
74,84,111,109,146,147
74,84,114,114,144,148
73,81,116,111,144,148
73,81,116,111,150,148
73,81,117,107,148,152
73,81,122,112,144,140
73,81,120,112,142,143
73,79,118,108,144,143
73,79,121,108,144,143
72,80,121,108,142,146
72,80,122,111,144,142
71,84,124,108,142,140
74,84,122,108,139,137
72,84,117,107,142,137
72,84,109,106,142,137
74,84,109,106,141,139
74,84,99,106,137,139
71,84,95,100,136,135
73,83,87,99,139,133
71,83,89,99,136,132
72,81,88,101,136,132
71,81,88,101,135,132
71,81,92,100,132,132
71,79,94,96,130,127
71,81,95,100,127,124
72,80,93,100,123,128
72,81,91,98,123,128
73,81,91,98,121,128
73,81,90,100,117,120
73,80,88,96,114,121
73,79,88,98,113,121
73,82,88,102,109,114
71,81,85,105,109,114
71,81,85,105,112,118
71,81,83,105,113,111
73,79,82,103,113,114
73,81,88,109,111,110
75,81,93,107,113,108
74,80,97,112,113,108
73,83,97,112,111,107
73,83,105,108,112,107
72,83,110,109,110,110
72,84,116,109,110,110
71,83,125,109,109,106
71,79,124,113,109,106
70,78,124,113,110,109
70,78,125,114,108,106
72,79,125,115,107,107
